metric,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC,date
total_cases,1267,194,127,63,899,2550,27-5-2020
new_cases,6,0,0,1,2,9,27-5-2020
new_cases_median_age,51,48,52,47,55,52,27-5-2020
new_cases_females,634,90,68,37,494,1323/2550,27-5-2020
ever_hospitalized,252,29,25,12,172,490,27-5-2020
ever_hospitalized_median_age,70,62,72,48,69,69,27-5-2020
deaths,69,2,5,0,86,162,27-5-2020
deaths_median_age,83,73,85,na,87,85,27-5-2020
recovered,1044,187,121,61,731,2144,27-5-2020
