metric,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC,date
total_cases,1236,194,127,62,888,2507,22-5-2020
new_cases,13,2,0,2,1,18,22-5-2020
new_cases_median_age,51,48,52,46,56,52,22-5-2020
new_cases_females,615,90,68,36,389,1298/2502,22-5-2020
ever_hospitalized,250,29,25,12,172,488,22-5-2020
ever_hospitalized_median_age,70,62,72,48,69,69,22-5-2020
deaths,62,2,5,0,86,155,22-5-2020
deaths_median_age,82,73,85,na,87,85,22-5-2020
recovered,969,185,121,58,709,2042,22-5-2020
