metric,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC,date
total_cases,941,169,120,46,811,2087,29-4-2020
new_cases,23,1,1,1,8,34,29-4-2020
new_cases_median_age,52,48,51,44,56,53,29-4-2020
new_cases_females,459,83,65,28,450,1085/2084,29-4-2020
ever_hospitalized,217,29,24,11,151,432,29-4-2020
ever_hospitalized_median_age,71,62,72,47,69,69,29-4-2020
deaths,32,2,4,0,71,109,29-4-2020
deaths_median_age,82,73,86,na,87,85,29-4-2020
recovered,469,145,90,41,560,1305,29-4-2020
