metric,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC,date
total_cases,961,170,120,46,815,2112,1-5-2020
new_cases,20,1,0,0,4,25,1-5-2020
new_cases_median_age,52,48,51,44,56,53,1-5-2020
new_cases_females,467,84,65,28,453,1097/2110,1-5-2020
ever_hospitalized,218,29,24,11,152,434,1-5-2020
ever_hospitalized_median_age,71,62,72,47,70,69,1-5-2020
deaths,33,2,4,0,72,111,1-5-2020
deaths_median_age,82,73,86,na,87,85,1-5-2020
recovered,480,146,92,41,563,1322,1-5-2020
