metric,date,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC
deaths,2-06-2020,72,2,5,0,86,165
deaths,7-4-2020,8,0,2,0,33,43
deaths,27-4-2020,31,1,4,0,67,103
deaths,6-4-2020,7,0,2,0,30,39
deaths,3-06-2020,73,2,5,0,86,166
deaths,1-06-2020,72,2,5,0,87,166
deaths,24-4-2020,30,1,3,0,64,98
deaths,30-4-2020,33,2,4,0,72,111
deaths,4-06-2020,73,2,5,0,86,166
deaths,1-4-2020,4,0,0,0,21,25
deaths,20-4-2020,24,1,3,0,58,86
deaths,21-4-2020,24,1,3,0,59,87
deaths,2-4-2020,5,0,2,0,24,31
deaths,23-4-2020,27,1,3,0,63,94
deaths,22-4-2020,26,1,3,0,60,90
deaths,3-4-2020,5,0,2,0,28,35
deaths,8-5-2020,42,2,5,0,78,127
deaths,27-5-2020,69,2,5,0,86,162
deaths,26-5-2020,68,2,5,0,86,161
deaths,19-5-2020,55,2,5,0,84,146
deaths,20-5-2020,57,2,5,0,85,149
deaths,21-5-2020,59,2,5,0,86,152
deaths,22-5-2020,62,2,5,0,86,155
deaths,13-5-2020,45,2,5,0,80,132
deaths,12-5-2020,44,2,5,0,80,131
deaths,11-5-2020,43,2,5,0,80,130
deaths,7-5-2020,41,2,5,0,78,126
deaths,29-5-2020,71,2,5,0,86,164
deaths,15-5-2020,52,2,5,0,81,140
deaths,5-06-2020,74,2,5,0,86,167
deaths,14-5-2020,48,2,5,0,80,135
deaths,28-5-2020,71,2,5,0,86,164
deaths,6-5-2020,40,2,5,0,77,124
deaths,4-5-2020,37,2,4,0,74,117
deaths,5-5-2020,40,2,4,0,75,121
deaths,27-3-2020,2,0,0,0,14,16
deaths,26-3-2020,2,0,0,0,12,14
deaths,8-06-2020,74,2,5,0,86,167
deaths,30-3-2020,2,0,0,0,17,19
deaths,24-3-2020,2,0,0,0,11,13
deaths,25-3-2020,2,0,0,0,12,14
deaths,31-3-2020,3,0,0,0,21,24
deaths,8-4-2020,9,0,2,0,37,48
deaths,15-4-2020,16,1,2,0,56,75
deaths,29-4-2020,32,2,4,0,71,109
deaths,28-4-2020,31,2,4,0,68,105
deaths,14-4-2020,15,0,2,0,55,72
deaths,9-4-2020,10,0,2,0,38,50
deaths,16-4-2020,16,1,3,0,57,77
deaths,17-4-2020,17,1,3,0,57,78
deaths,23-3-2020,2,0,0,0,11,13
