metric,Fraser,Interior,Vancouver Island,Northern,Vancouver Coastal,Total BC,date
total_cases,630,149,94,32,670,1575,16-4-2020
new_cases,7,3,2,2,0,14,16-4-2020
new_cases_median_age,53,50,56,48,57,54,16-4-2020
new_cases_females,320,79,49,20,361,829/1546,16-4-2020
ever_hospitalized,177,27,22,8,128,362,16-4-2020
ever_hospitalized_median_age,68,62,72,44,70,68,16-4-2020
deaths,16,1,3,0,57,77,16-4-2020
deaths_median_age,80,na,87,na,87,86,16-4-2020
recovered,341,91,53,25,473,983,16-4-2020
